"filename", "language", "Markdown", "HTML", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\QHS\Desktop\QuickLearn\Etmamn-dore.html", "HTML", 0, 281, 0, 0, 4, 31, 316
"c:\Users\QHS\Desktop\QuickLearn\Home.html", "HTML", 0, 519, 0, 0, 14, 38, 571
"c:\Users\QHS\Desktop\QuickLearn\Problems.html", "HTML", 0, 331, 0, 0, 4, 38, 373
"c:\Users\QHS\Desktop\QuickLearn\README.md", "Markdown", 12, 0, 0, 0, 0, 14, 26
"c:\Users\QHS\Desktop\QuickLearn\assets\css\animate.min.css", "CSS", 0, 0, 0, 2, 5, 0, 7
"c:\Users\QHS\Desktop\QuickLearn\assets\css\bootstrap.min.css", "CSS", 0, 0, 0, 2, 3, 0, 5
"c:\Users\QHS\Desktop\QuickLearn\assets\css\daterangepicker.css", "CSS", 0, 0, 0, 337, 1, 72, 410
"c:\Users\QHS\Desktop\QuickLearn\assets\css\fontawesome.min.css", "CSS", 0, 0, 0, 1, 5, 0, 6
"c:\Users\QHS\Desktop\QuickLearn\assets\css\keyframe-animation.css", "CSS", 0, 0, 0, 2281, 261, 96, 2638
"c:\Users\QHS\Desktop\QuickLearn\assets\css\main.css", "CSS", 0, 0, 0, 11152, 141, 688, 11981
"c:\Users\QHS\Desktop\QuickLearn\assets\css\nice-select.css", "CSS", 0, 0, 0, 155, 0, 27, 182
"c:\Users\QHS\Desktop\QuickLearn\assets\css\odometer.min.css", "CSS", 0, 0, 0, 1, 1, 0, 2
"c:\Users\QHS\Desktop\QuickLearn\assets\css\swiper.min.css", "CSS", 0, 0, 0, 1, 11, 1, 13
"c:\Users\QHS\Desktop\QuickLearn\assets\css\venobox.min.css", "CSS", 0, 0, 0, 1, 0, 0, 1
"c:\Users\QHS\Desktop\QuickLearn\assets\font\fa-v4compatibility-2.html", "HTML", 0, 51, 0, 0, 0, 11, 62
"c:\Users\QHS\Desktop\QuickLearn\assets\font\fa-v4compatibility.html", "HTML", 0, 51, 0, 0, 0, 11, 62
"c:\Users\QHS\Desktop\QuickLearn\assets\img\cross.html", "HTML", 0, 51, 0, 0, 0, 11, 62
"c:\Users\QHS\Desktop\QuickLearn\assets\js\main.js", "JavaScript", 0, 0, 471, 0, 29, 47, 547
"c:\Users\QHS\Desktop\QuickLearn\assets\js\vendor\bootstrap-bundle.js", "JavaScript", 0, 0, 1, 0, 5, 0, 6
"c:\Users\QHS\Desktop\QuickLearn\assets\js\vendor\cart.js", "JavaScript", 0, 0, 66, 0, 39, 21, 126
"c:\Users\QHS\Desktop\QuickLearn\assets\js\vendor\countdown.js", "JavaScript", 0, 0, 208, 0, 13, 49, 270
"c:\Users\QHS\Desktop\QuickLearn\assets\js\vendor\daterangepicker.min.js", "JavaScript", 0, 0, 1, 0, 7, 0, 8
"c:\Users\QHS\Desktop\QuickLearn\assets\js\vendor\imagesloaded-pkgd.js", "JavaScript", 0, 0, 1, 0, 5, 1, 7
"c:\Users\QHS\Desktop\QuickLearn\assets\js\vendor\jquary-3.6.0.min.js", "JavaScript", 0, 0, 1, 0, 1, 0, 2
"c:\Users\QHS\Desktop\QuickLearn\assets\js\vendor\jquery.isotope.js", "JavaScript", 0, 0, 2, 0, 9, 1, 12
"c:\Users\QHS\Desktop\QuickLearn\assets\js\vendor\meanmenu.js", "JavaScript", 0, 0, 207, 0, 23, 28, 258
"c:\Users\QHS\Desktop\QuickLearn\assets\js\vendor\modernizr-2.8.3-respond-1.4.2.min.js", "JavaScript", 0, 0, 2, 0, 7, 2, 11
"c:\Users\QHS\Desktop\QuickLearn\assets\js\vendor\moment.min.js", "JavaScript", 0, 0, 2, 0, 5, 0, 7
"c:\Users\QHS\Desktop\QuickLearn\assets\js\vendor\nice-select.js", "JavaScript", 0, 0, 1, 0, 3, 0, 4
"c:\Users\QHS\Desktop\QuickLearn\assets\js\vendor\odometer.min.js", "JavaScript", 0, 0, 1, 0, 1, 0, 2
"c:\Users\QHS\Desktop\QuickLearn\assets\js\vendor\smooth-scroll.js", "JavaScript", 0, 0, 526, 0, 136, 128, 790
"c:\Users\QHS\Desktop\QuickLearn\assets\js\vendor\swiper.min.js", "JavaScript", 0, 0, 1, 0, 11, 1, 13
"c:\Users\QHS\Desktop\QuickLearn\assets\js\vendor\venobox.min.js", "JavaScript", 0, 0, 2, 0, 4, 0, 6
"c:\Users\QHS\Desktop\QuickLearn\assets\js\vendor\waypoints.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 1
